Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.0,0.04,0.08,0.12,0.16,0.2,0.24,0.28,0.32,0.36,0.4,0.48,0.56,0.64,0.72,0.8,0.94,1.08,1.22,1.36,1.5,1.68,1.86,2.04,2.22,2.4,2.5,2.6,2.7,2.8,2.9,3.06,3.22,3.38,3.54,3.7,4.0,4.3,4.6,4.9,5.2,5.76,6.32,6.88,7.44,8.0,9.06,10.12,11.18,12.24,13.3,14.3,15.3,16.3,17.3,18.3,19.42,20.54,21.66,22.78,23.9
Albania,14.6,16.06,17.52,18.98,20.44,21.9,23.22,24.54,25.86,27.18,28.5,29.16,29.82,30.48,31.14,31.8,32.22,32.64,33.06,33.48,33.9,34.62,35.34,36.06,36.78,37.5,38.36,39.22,40.08,40.94,41.8,42.26,42.72,43.18,43.64,44.1,44.26,44.42,44.58,44.74,44.9,46.18,47.46,48.74,50.02,51.3,51.32,51.34,51.36,51.38,51.4,52.88,54.36,55.84,57.32,58.8,60.28,61.76,63.24,64.72,66.2
Algeria,0.4,0.56,0.72,0.88,1.04,1.2,1.44,1.68,1.92,2.16,2.4,2.98,3.56,4.14,4.72,5.3,6.28,7.26,8.24,9.22,10.2,11.42,12.64,13.86,15.08,16.3,17.54,18.78,20.02,21.26,22.5,23.8,25.1,26.4,27.7,29.0,30.4,31.8,33.2,34.6,36.0,37.88,39.76,41.64,43.52,45.4,47.32,49.24,51.16,53.08,55.0,56.88,58.76,60.64,62.52,64.4,66.3,68.2,70.1,72.0,73.9
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.18,0.22,0.26,0.3,0.36,0.42,0.48,0.54,0.6,0.66,0.72,0.78,0.84,0.9,0.96,1.02,1.08,1.14,1.2,1.26,1.32,1.38,1.44,1.5,1.58,1.66,1.74,1.82,1.9,2.14,2.38,2.62,2.86,3.1,3.7,4.3,4.9,5.5,6.1,7.06,8.02,8.98,9.94,10.9
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.52,29.04,43.56,58.08,72.6,73.72,74.84,75.96,77.08,78.2
Argentina,6.5,7.06,7.62,8.18,8.74,9.3,10.04,10.78,11.52,12.26,13.0,13.86,14.72,15.58,16.44,17.3,18.22,19.14,20.06,20.98,21.9,22.88,23.86,24.84,25.82,26.8,27.9,29.0,30.1,31.2,32.3,33.34,34.38,35.42,36.46,37.5,38.5,39.5,40.5,41.5,42.5,43.68,44.86,46.04,47.22,48.4,49.3,50.2,51.1,52.0,52.9,54.4,55.9,57.4,58.9,60.4,61.88,63.36,64.84,66.32,67.8
Armenia,62.4,64.2,66.0,67.8,69.6,71.4,72.34,73.28,74.22,75.16,76.1,76.6,77.1,77.6,78.1,78.6,79.04,79.48,79.92,80.36,80.8,81.16,81.52,81.88,82.24,82.6,82.9,83.2,83.5,83.8,84.1,84.3,84.5,84.7,84.9,85.1,85.26,85.42,85.58,85.74,85.9,85.96,86.02,86.08,86.14,86.2,85.98,85.76,85.54,85.32,85.1,86.02,86.94,87.86,88.78,89.7,90.4,91.1,91.8,92.5,93.2
Aruba,2.9,3.28,3.66,4.04,4.42,4.8,5.38,5.96,6.54,7.12,7.7,8.48,9.26,10.04,10.82,11.6,12.3,13.0,13.7,14.4,15.1,15.92,16.74,17.56,18.38,19.2,19.66,20.12,20.58,21.04,21.5,22.0,22.5,23.0,23.5,24.0,24.92,25.84,26.76,27.68,28.6,29.38,30.16,30.94,31.72,32.5,33.8,35.1,36.4,37.7,39.0,41.18,43.36,45.54,47.72,49.9,52.1,54.3,56.5,58.7,60.9
Australia,58.9,60.72,62.54,64.36,66.18,68.0,69.46,70.92,72.38,73.84,75.3,76.42,77.54,78.66,79.78,80.9,81.62,82.34,83.06,83.78,84.5,85.02,85.54,86.06,86.58,87.1,87.54,87.98,88.42,88.86,89.3,89.62,89.94,90.26,90.58,90.9,91.12,91.34,91.56,91.78,92.0,92.22,92.44,92.66,92.88,93.1,93.2,93.3,93.4,93.5,93.6,94.0,94.4,94.8,95.2,95.6,95.66,95.72,95.78,95.84,95.9
Austria,44.6,45.76,46.92,48.08,49.24,50.4,51.62,52.84,54.06,55.28,56.5,57.56,58.62,59.68,60.74,61.8,63.08,64.36,65.64,66.92,68.2,69.36,70.52,71.68,72.84,74.0,74.58,75.16,75.74,76.32,76.9,77.04,77.18,77.32,77.46,77.6,77.68,77.76,77.84,77.92,78.0,78.18,78.36,78.54,78.72,78.9,79.1,79.3,79.5,79.7,79.9,79.92,79.94,79.96,79.98,80.0,81.0,82.0,83.0,84.0,85.0
