Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,7.4,7.82,8.24,8.66,9.08,9.5,9.78,10.06,10.34,10.62,10.9,11.86,12.82,13.78,14.74,15.7,16.06,16.42,16.78,17.14,17.5,17.76,18.02,18.28,18.54,18.8,18.82,18.84,18.86,18.88,18.9,19.14,19.38,19.62,19.86,20.1,20.68,21.26,21.84,22.42,23.0,24.4,25.8,27.2,28.6,30.0,32.6,35.2,37.8,40.4,43.0,45.78,48.56,51.34,54.12,56.9,56.7,56.5,56.3,56.1,55.9
Albania,91.0,91.82,92.64,93.46,94.28,95.1,95.46,95.82,96.18,96.54,96.9,97.12,97.34,97.56,97.78,98.0,98.02,98.04,98.06,98.08,98.1,98.1,98.1,98.1,98.1,98.1,98.04,97.98,97.92,97.86,97.8,97.72,97.64,97.56,97.48,97.4,97.3,97.2,97.1,97.0,96.9,96.78,96.66,96.54,96.42,96.3,96.22,96.14,96.06,95.98,95.9,96.24,96.58,96.92,97.26,97.6,97.74,97.88,98.02,98.16,98.3
Algeria,18.4,20.48,22.56,24.64,26.72,28.8,31.02,33.24,35.46,37.68,39.9,41.64,43.38,45.12,46.86,48.6,50.64,52.68,54.72,56.76,58.8,60.86,62.92,64.98,67.04,69.1,70.68,72.26,73.84,75.42,77.0,78.12,79.24,80.36,81.48,82.6,83.22,83.84,84.46,85.08,85.7,86.4,87.1,87.8,88.5,89.2,89.68,90.16,90.64,91.12,91.6,92.08,92.56,93.04,93.52,94.0,94.58,95.16,95.74,96.32,96.9
Angola,9.0,9.26,9.52,9.78,10.04,10.3,10.96,11.62,12.28,12.94,13.6,14.28,14.96,15.64,16.32,17.0,18.28,19.56,20.84,22.12,23.4,24.66,25.92,27.18,28.44,29.7,30.96,32.22,33.48,34.74,36.0,35.84,35.68,35.52,35.36,35.2,34.84,34.48,34.12,33.76,33.4,33.38,33.36,33.34,33.32,33.3,34.36,35.42,36.48,37.54,38.6,42.66,46.72,50.78,54.84,58.9,60.0,61.1,62.2,63.3,64.4
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.7,39.4,59.1,78.8,98.5,98.56,98.62,98.68,98.74,98.8
Argentina,68.5,69.28,70.06,70.84,71.62,72.4,73.16,73.92,74.68,75.44,76.2,77.06,77.92,78.78,79.64,80.5,81.22,81.94,82.66,83.38,84.1,84.66,85.22,85.78,86.34,86.9,87.32,87.74,88.16,88.58,89.0,89.34,89.68,90.02,90.36,90.7,90.94,91.18,91.42,91.66,91.9,92.02,92.14,92.26,92.38,92.5,92.5,92.5,92.5,92.5,92.5,92.9,93.3,93.7,94.1,94.5,94.84,95.18,95.52,95.86,96.2
Armenia,98.6,98.74,98.88,99.02,99.16,99.3,99.4,99.5,99.6,99.7,99.8,99.78,99.76,99.74,99.72,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.7,99.72,99.74,99.76,99.78,99.8,99.78,99.76,99.74,99.72,99.7,99.72,99.74,99.76,99.78,99.8,99.78,99.76,99.74,99.72,99.7,99.72,99.74,99.76,99.78,99.8,99.76,99.72,99.68,99.64,99.6
Aruba,60.8,62.4,64.0,65.6,67.2,68.8,69.88,70.96,72.04,73.12,74.2,75.54,76.88,78.22,79.56,80.9,81.66,82.42,83.18,83.94,84.7,85.46,86.22,86.98,87.74,88.5,88.86,89.22,89.58,89.94,90.3,90.48,90.66,90.84,91.02,91.2,91.66,92.12,92.58,93.04,93.5,93.68,93.86,94.04,94.22,94.4,94.68,94.96,95.24,95.52,95.8,96.24,96.68,97.12,97.56,98.0,98.0,98.0,98.0,98.0,98.0
Australia,97.8,97.98,98.16,98.34,98.52,98.7,98.74,98.78,98.82,98.86,98.9,98.94,98.98,99.02,99.06,99.1,99.12,99.14,99.16,99.18,99.2,99.22,99.24,99.26,99.28,99.3,99.32,99.34,99.36,99.38,99.4,99.44,99.48,99.52,99.56,99.6,99.58,99.56,99.54,99.52,99.5,99.54,99.58,99.62,99.66,99.7,99.7,99.7,99.7,99.7,99.7,99.76,99.82,99.88,99.94,100.0,99.88,99.76,99.64,99.52,99.4
Austria,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.9,99.92,99.94,99.96,99.98,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.02,100.04,100.06,100.08,100.1,100.1,100.1,100.1,100.1,100.1,100.08,100.06,100.04,100.02,100.0,100.0,100.0,100.0,100.0,100.0,99.88,99.76,99.64,99.52,99.4
