Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14,0.18,0.22,0.26,0.3,0.34,0.38,0.42,0.46,0.5,0.62,0.74,0.86,0.98,1.1,1.46,1.82,2.18,2.54,2.9,3.8,4.7,5.6,6.5,7.4,8.24,9.08,9.92,10.76,11.6,12.52,13.44,14.36,15.28,16.2
Albania,39.2,42.34,45.48,48.62,51.76,54.9,58.68,62.46,66.24,70.02,73.8,76.7,79.6,82.5,85.4,88.3,89.54,90.78,92.02,93.26,94.5,94.88,95.26,95.64,96.02,96.4,96.46,96.52,96.58,96.64,96.7,96.66,96.62,96.58,96.54,96.5,96.3,96.1,95.9,95.7,95.5,95.3,95.1,94.9,94.7,94.5,94.28,94.06,93.84,93.62,93.4,93.82,94.24,94.66,95.08,95.5,95.94,96.38,96.82,97.26,97.7
Algeria,4.2,5.08,5.96,6.84,7.72,8.6,9.7,10.8,11.9,13.0,14.1,15.38,16.66,17.94,19.22,20.5,22.44,24.38,26.32,28.26,30.2,32.64,35.08,37.52,39.96,42.4,44.8,47.2,49.6,52.0,54.4,56.44,58.48,60.52,62.56,64.6,65.92,67.24,68.56,69.88,71.2,72.34,73.48,74.62,75.76,76.9,77.9,78.9,79.9,80.9,81.9,82.94,83.98,85.02,86.06,87.1,88.16,89.22,90.28,91.34,92.4
Angola,1.2,1.2,1.2,1.2,1.2,1.2,1.26,1.32,1.38,1.44,1.5,1.62,1.74,1.86,1.98,2.1,2.28,2.46,2.64,2.82,3.0,3.28,3.56,3.84,4.12,4.4,4.7,5.0,5.3,5.6,5.9,6.06,6.22,6.38,6.54,6.7,6.82,6.94,7.06,7.18,7.3,7.54,7.78,8.02,8.26,8.5,9.0,9.5,10.0,10.5,11.0,13.08,15.16,17.24,19.32,21.4,21.86,22.32,22.78,23.24,23.7
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.42,34.84,52.26,69.68,87.1,87.8,88.5,89.2,89.9,90.6
Argentina,26.3,27.4,28.5,29.6,30.7,31.8,33.08,34.36,35.64,36.92,38.2,39.42,40.64,41.86,43.08,44.3,45.32,46.34,47.36,48.38,49.4,50.26,51.12,51.98,52.84,53.7,54.58,55.46,56.34,57.22,58.1,58.94,59.78,60.62,61.46,62.3,62.94,63.58,64.22,64.86,65.5,66.68,67.86,69.04,70.22,71.4,72.06,72.72,73.38,74.04,74.7,75.46,76.22,76.98,77.74,78.5,79.28,80.06,80.84,81.62,82.4
Armenia,88.8,90.04,91.28,92.52,93.76,95.0,95.54,96.08,96.62,97.16,97.7,97.94,98.18,98.42,98.66,98.9,98.96,99.02,99.08,99.14,99.2,99.22,99.24,99.26,99.28,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.3,99.28,99.26,99.24,99.22,99.2,99.22,99.24,99.26,99.28,99.3,99.18,99.06,98.94,98.82,98.7,98.78,98.86,98.94,99.02,99.1,99.06,99.02,98.98,98.94,98.9
Aruba,21.5,24.16,26.82,29.48,32.14,34.8,36.52,38.24,39.96,41.68,43.4,45.04,46.68,48.32,49.96,51.6,53.44,55.28,57.12,58.96,60.8,61.94,63.08,64.22,65.36,66.5,67.4,68.3,69.2,70.1,71.0,71.24,71.48,71.72,71.96,72.2,72.9,73.6,74.3,75.0,75.7,75.54,75.38,75.22,75.06,74.9,76.02,77.14,78.26,79.38,80.5,81.42,82.34,83.26,84.18,85.1,85.92,86.74,87.56,88.38,89.2
Australia,77.3,78.64,79.98,81.32,82.66,84.0,85.12,86.24,87.36,88.48,89.6,90.42,91.24,92.06,92.88,93.7,94.14,94.58,95.02,95.46,95.9,96.16,96.42,96.68,96.94,97.2,97.36,97.52,97.68,97.84,98.0,98.06,98.12,98.18,98.24,98.3,98.4,98.5,98.6,98.7,98.8,98.84,98.88,98.92,98.96,99.0,98.92,98.84,98.76,98.68,98.6,98.68,98.76,98.84,98.92,99.0,98.86,98.72,98.58,98.44,98.3
Austria,56.7,58.82,60.94,63.06,65.18,67.3,69.52,71.74,73.96,76.18,78.4,79.68,80.96,82.24,83.52,84.8,86.0,87.2,88.4,89.6,90.8,91.8,92.8,93.8,94.8,95.8,96.2,96.6,97.0,97.4,97.8,97.88,97.96,98.04,98.12,98.2,98.14,98.08,98.02,97.96,97.9,97.86,97.82,97.78,97.74,97.7,97.64,97.58,97.52,97.46,97.4,97.34,97.28,97.22,97.16,97.1,97.14,97.18,97.22,97.26,97.3
Azerbaijan,69.4,71.52,73.64,75.76,77.88,80.0,81.8,83.6,85.4,87.2,89.0,90.14,91.28,92.42,93.56,94.7,95.24,95.78,96.32,96.86,97.4,97.64,97.88,98.12,98.36,98.6,98.7,98.8,98.9,99.0,99.1,99.1,99.1,99.1,99.1,99.1,99.12,99.14,99.16,99.18,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.2,99.24,99.28,99.32,99.36,99.4,99.44,99.48,99.52,99.56,99.6
Bahamas,53.2,55.2,57.2,59.2,61.2,63.2,65.32,67.44,69.56,71.68,73.8,75.94,78.08,80.22,82.36,84.5,86.04,87.58,89.12,90.66,92.2,92.76,93.32,93.88,94.44,95.0,95.18,95.36,95.54,95.72,95.9,96.04,96.18,96.32,96.46,96.6,96.68,96.76,96.84,96.92,97.0,97.22,97.44,97.66,97.88,98.1,98.3,98.5,98.7,98.9,99.1,99.16,99.22,99.28,99.34,99.4,99.32,99.24,99.16,99.08,99.0
