Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,0.2,0.22,0.24,0.26,0.28,0.3,0.36,0.42,0.48,0.54,0.6,0.82,1.04,1.26,1.48,1.7,1.96,2.22,2.48,2.74,3.0,3.28,3.56,3.84,4.12,4.4,4.6,4.8,5.0,5.2,5.4,5.64,5.88,6.12,6.36,6.6,7.06,7.52,7.98,8.44,8.9,9.68,10.46,11.24,12.02,12.8,14.0,15.2,16.4,17.6,18.8,19.98,21.16,22.34,23.52,24.7,25.96,27.22,28.48,29.74,31.0
Albania,19.2,20.72,22.24,23.76,25.28,26.8,28.06,29.32,30.58,31.84,33.1,33.66,34.22,34.78,35.34,35.9,36.3,36.7,37.1,37.5,37.9,38.5,39.1,39.7,40.3,40.9,41.62,42.34,43.06,43.78,44.5,44.84,45.18,45.52,45.86,46.2,46.18,46.16,46.14,46.12,46.1,47.28,48.46,49.64,50.82,52.0,51.74,51.48,51.22,50.96,50.7,52.04,53.38,54.72,56.06,57.4,58.72,60.04,61.36,62.68,64.0
Algeria,0.5,0.7,0.9,1.1,1.3,1.5,1.98,2.46,2.94,3.42,3.9,4.68,5.46,6.24,7.02,7.8,8.98,10.16,11.34,12.52,13.7,14.98,16.26,17.54,18.82,20.1,21.1,22.1,23.1,24.1,25.1,25.92,26.74,27.56,28.38,29.2,29.84,30.48,31.12,31.76,32.4,34.34,36.28,38.22,40.16,42.1,44.08,46.06,48.04,50.02,52.0,53.96,55.92,57.88,59.84,61.8,63.78,65.76,67.74,69.72,71.7
Angola,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.08,0.1,0.14,0.18,0.22,0.26,0.3,0.36,0.42,0.48,0.54,0.6,0.7,0.8,0.9,1.0,1.1,1.24,1.38,1.52,1.66,1.8,1.88,1.96,2.04,2.12,2.2,2.28,2.36,2.44,2.52,2.6,2.7,2.8,2.9,3.0,3.1,3.42,3.74,4.06,4.38,4.7,5.4,6.1,6.8,7.5,8.2,9.18,10.16,11.14,12.12,13.1
Antigua and Barbuda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.24,26.48,39.72,52.96,66.2,67.62,69.04,70.46,71.88,73.3
Argentina,6.9,7.42,7.94,8.46,8.98,9.5,10.1,10.7,11.3,11.9,12.5,13.22,13.94,14.66,15.38,16.1,16.9,17.7,18.5,19.3,20.1,20.96,21.82,22.68,23.54,24.4,25.42,26.44,27.46,28.48,29.5,30.44,31.38,32.32,33.26,34.2,35.1,36.0,36.9,37.8,38.7,39.78,40.86,41.94,43.02,44.1,44.86,45.62,46.38,47.14,47.9,49.54,51.18,52.82,54.46,56.1,57.72,59.34,60.96,62.58,64.2
Armenia,62.6,64.2,65.8,67.4,69.0,70.6,71.38,72.16,72.94,73.72,74.5,75.0,75.5,76.0,76.5,77.0,77.5,78.0,78.5,79.0,79.5,79.9,80.3,80.7,81.1,81.5,81.8,82.1,82.4,82.7,83.0,83.18,83.36,83.54,83.72,83.9,84.0,84.1,84.2,84.3,84.4,84.44,84.48,84.52,84.56,84.6,84.36,84.12,83.88,83.64,83.4,84.34,85.28,86.22,87.16,88.1,88.98,89.86,90.74,91.62,92.5
Aruba,3.7,4.04,4.38,4.72,5.06,5.4,5.92,6.44,6.96,7.48,8.0,8.52,9.04,9.56,10.08,10.6,11.14,11.68,12.22,12.76,13.3,14.06,14.82,15.58,16.34,17.1,17.58,18.06,18.54,19.02,19.5,19.82,20.14,20.46,20.78,21.1,21.62,22.14,22.66,23.18,23.7,24.32,24.94,25.56,26.18,26.8,27.7,28.6,29.5,30.4,31.3,33.62,35.94,38.26,40.58,42.9,45.24,47.58,49.92,52.26,54.6
Australia,62.6,64.14,65.68,67.22,68.76,70.3,71.6,72.9,74.2,75.5,76.8,77.76,78.72,79.68,80.64,81.6,82.22,82.84,83.46,84.08,84.7,85.18,85.66,86.14,86.62,87.1,87.52,87.94,88.36,88.78,89.2,89.48,89.76,90.04,90.32,90.6,90.82,91.04,91.26,91.48,91.7,91.86,92.02,92.18,92.34,92.5,92.64,92.78,92.92,93.06,93.2,93.6,94.0,94.4,94.8,95.2,95.3,95.4,95.5,95.6,95.7
Austria,54.4,55.42,56.44,57.46,58.48,59.5,60.72,61.94,63.16,64.38,65.6,66.64,67.68,68.72,69.76,70.8,71.74,72.68,73.62,74.56,75.5,76.14,76.78,77.42,78.06,78.7,78.8,78.9,79.0,79.1,79.2,79.12,79.04,78.96,78.88,78.8,78.76,78.72,78.68,78.64,78.6,78.7,78.8,78.9,79.0,79.1,79.18,79.26,79.34,79.42,79.5,79.34,79.18,79.02,78.86,78.7,79.82,80.94,82.06,83.18,84.3
