State,1981,1991,1999,2009,2017,2020,2021
Andaman & Nicobar,,,1.9,1.5,1.5,1.3,
Sikkim,,,2.5,2.1,1.2,1.1,1.1
Jammu and Kashmir,4.5,,,2.53,1.6,1.4,1.4
Lakshadweep,6.3,4.8,3.8,2.6,1.9,1.4,
Chandigarh,,,,1.8,1.8,1.6,
West Bengal,4.2,3.2,2.4,1.9,1.8,1.6,1.6
Delhi,,2.1,1.6,1.9,1.57,1.6,1.6
Puduchery,,,1.8,1.6,1.6,1.6,
Daman & Diu,,,2.5,1.9,1.7,1.8,
Punjab,4.6,3.1,2.5,1.9,1.7,1.5,1.6
Andhra Pradesh,4,3,2.4,1.8,1.8,1.7,1.7
Dadra Nagar Haveli,,,3.5,3.3,2.3,1.8,
Himachal Pradesh,3.8,3.1,2.4,2,1.9,1.7,1.7
Karnataka,3.6,3.1,2.5,1.9,1.7,1.7,1.7
Maharashtra,3.6,3,2.7,1.9,1.7,1.7,1.7
Kerala,2.4,2,1.8,1.8,1.6,1.8,1.8
Telangana,4,3,2.4,1.8,1.7,1.7,1.8
Chhattisgarh,,,3.7,3,2.4,2.4,1.8
Odisha,4.3,3.3,2.7,2.4,1.9,1.9,1.8
Tamil Nadu,3.4,2.2,2,1.7,1.6,1.6,1.8
Assam,4.1,3.5,3.2,2.6,2.3,1.9,1.9
Gujarat,4.3,3.1,3,2.5,2.2,1.9,1.9
Haryana,5,4,3.2,2.5,2.2,2.1,1.9
Uttarakhand,,,,2.6,1.9,1.8,1.9
Madhya Pradesh,5.2,4.6,3.9,3.3,2.7,2.6,2
Rajasthan,5.2,4.6,4.2,3.3,2.7,2.4,2
Jharkhand,,,3.7,3.2,2.5,2.5,2.3
Uttar Pradesh,5.8,5.1,4.7,3.7,2.7,2.4,2.4
Bihar,5.7,4.4,4.5,3.9,3.2,3,3
Meghalaya,,,,3.1,2.9,2.9,
Goa,1.1,1,1.6,1.8,1.3,0.1,1.3
Tripura,,,3.9,1.7,1.7,1.7,
Nagaland,,,1.5,2,2.5,1.7,
Mizoram,,,,2,2.3,1.9,
Arunachal Pradesh,,,,2.7,2.1,1.7,
Manipur,,,2.4,1.5,1.4,2.2,
