Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,17200,20300,24300,27300,27900,29000,29000,29300,30000,29400,28700,29900,29900,29600,31200,29700,28100,28000,29700,29700,29700,30200,30100,26900,25900,26600,26200,27100,27000,28400,28800,29300,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,346,336,360,368,409,415,492,547,533,580,592,588,578,575,576,569,578,553
Angola,,,,,,,,,,,,,,,,,,,,,3550,3280,3160,3180,3250,3250,3230,3240,3320,3210,3000,2930,2670,1960,1930,2150,2360,2450,2490,2460,2450,2470,2720,2710,2900,3220,3460,3810,4080,3960,3990,3980,4170,4220,4270,4170,3920,3790,3600,3460,3210
Albania,,,,,,,,,,,,,,,,,,,,,1740,1800,1820,1800,1740,1740,1800,1750,1690,1810,1610,1160,1090,1200,1310,1490,1630,1460,1600,1820,1960,2140,2250,2380,2520,2680,2850,3050,3300,3430,3580,3680,3740,3780,3860,3950,4090,4250,4430,4550,4420
Andorra,,,,,,,,,,,35400,35200,36200,37100,37500,36200,36200,36100,35600,34500,34000,32700,31700,30900,30100,29500,29200,29600,29900,30100,30100,29600,28800,27500,27400,27600,28700,31300,32400,33600,34300,36000,36200,37600,39000,39800,40600,40400,37600,35400,34700,35000,33800,33200,34700,35800,37400,37700,38300,39000,34300
United Arab Emirates,,,,,,,,,,,,,,,,99500,99700,105000,91000,98600,112000,109000,95400,86200,85100,77700,62400,60900,55900,59200,66100,62900,61300,58700,59400,60200,60600,62300,59300,57900,60800,58500,56900,58000,58000,53900,51200,45400,40800,34600,32600,33300,34000,35500,37000,38700,39400,39800,39700,39800,
Argentina,7360,7640,7450,6950,7530,8200,8030,8160,8430,9110,9240,9610,9610,9730,10100,9940,9590,10100,9510,10300,10300,9630,9410,9660,9660,9010,9410,9520,9270,8480,8150,8770,9340,9970,10400,10000,10400,11100,11400,10900,10700,10100,8940,9630,10400,11200,12000,12900,13300,12400,13600,14200,13900,14100,13600,13800,13400,13600,13100,12700,11300
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,1470,872,814,879,959,1030,1080,1160,1210,1290,1420,1620,1860,2060,2360,2700,3090,3340,2880,2960,3100,3310,3410,3510,3610,3600,3860,4050,4350,4010
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12600,12600,12700,12600,12200,12600,12400,12100,12300,12300,11800,11500,11700,12100,11900,11100,11500,11300,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,5570,5830,6310,6830,7100,7090,7470,8230,8860,9890,10500,11100,11600,11900,12000,11900,12300,12800,12000,12500,12900,13300,13500,14100,13200,13200,13800,14400,15100,16800,18100,17800,15400,14000,13500,13800,13600,13900,14300,14900,15200,16200,16600,13800
Australia,20000,20100,19800,20700,21700,22500,22500,23700,24400,25600,26900,27100,27600,27900,28300,28400,28800,29500,29400,30300,30800,31300,31900,30800,31800,33000,33800,34100,35500,36300,37000,36400,36100,37200,38300,39300,40200,41400,42800,44500,45700,45900,47200,48000,49400,50300,50900,52600,53400,53300,53600,54200,55300,55800,56300,56800,57400,57800,58600,58900,58000
Austria,12000,12600,12900,13300,14100,14500,15200,15500,16100,17100,18100,18900,20000,20900,21600,21600,22700,23800,23800,25100,25500,25400,25900,26700,26700,27400,28000,28400,29300,30300,31300,32100,32400,32299,32900,33800,34500,35200,36400,37600,38800,39200,39600,39800,40600,41300,42500,43900,44400,42600,43300,44400,44500,44300,44200,44200,44600,45300,46300,46700,43600
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2870,2810,2140,1620,1280,1120,1120,1180,1280,1370,1500,1640,1780,1950,2110,2670,3560,4410,4780,5120,5300,5150,5190,5430,5510,5500,5270,5230,5260,5350,5070
Burundi,285,241,258,264,275,279,285,316,308,296,353,357,331,350,343,341,361,394,380,377,371,406,391,395,385,418,420,431,440,434,439,450,445,409,387,351,319,311,322,315,307,306,311,298,303,296,302,302,307,308,313,316,319,325,328,306,294,286,282,278,271
Belgium,11700,12300,12900,13300,14100,14500,14800,15300,15900,16900,17800,18500,19400,20600,21500,21000,22100,22200,22900,23400,24400,24300,24500,24500,25200,25600,26000,26600,27800,28600,29400,29900,30200,29800,30700,31300,31700,32800,33400,34500,35700,35900,36400,36600,37700,38400,39100,40300,40100,39000,39800,39900,40000,40000,40400,41000,41300,41800,42400,42900,40000
Benin,679,691,657,677,710,735,747,740,753,759,758,731,761,771,779,723,711,728,718,745,775,829,824,766,804,840,833,797,800,754,795,801,797,814,803,824,833,854,862,882,906,926,940,943,956,944,953,981,1000,996,989,990,1010,1050,1090,1080,1080,1110,1160,1200,1210
Burkina Faso,242,248,260,253,255,261,258,276,280,281,276,276,277,273,291,294,313,308,315,320,315,321,343,336,322,340,358,348,359,357,345,367,358,360,355,365,394,408,426,444,440,456,462,484,491,518,534,540,554,554,582,603,623,639,647,653,672,694,719,739,733
Bangladesh,463,478,490,474,511,504,501,476,505,497,512,474,401,409,441,415,428,429,447,456,448,468,465,471,481,484,491,496,495,497,512,518,534,547,556,572,586,599,617,633,654,674,687,708,733,769,809,856,897,932,973,1020,1080,1130,1180,1250,1320,1400,1500,1600,1630
Bulgaria,,,,,,,,,,,,,,,,,,,,,3360,3510,3590,3700,3820,3920,4090,4330,4790,4690,4340,4010,3760,3740,3820,3940,4170,3600,3780,3480,3670,3890,4210,4460,4780,5160,5560,5960,6370,6200,6270,6460,6520,6580,6740,7060,7380,7690,7990,8340,8050
Bahrain,,,,,,,,,,,,,,,,,,,,,21500,19500,17500,18100,18500,17100,16800,17900,18500,17900,18200,19700,20400,22500,21900,22200,22500,22600,22900,23000,23200,22700,22300,22300,22400,22300,22100,22100,21800,21100,21000,20800,21200,22100,22700,22600,22600,22400,21700,21200,19300
